"","cluster","Mean.of.log.A","Mean.of.log.B","Mean.of.log.C","Mean.of.log.D","Mean.of.log.E","isClusterMember","maxMembership","membership.of.cluster.1","membership.of.cluster.2","membership.of.cluster.3","membership.of.cluster.4","membership.of.cluster.5","membership.of.cluster.6","membership.of.cluster.7"
"ACE",5,0.0818017523650429,0.979427809632016,0.972488171393857,-1.11758742762563,-0.916130305765282,FALSE,0.158933700750356,0.146959880557052,0.123539825471404,0.135616666208755,0.157951266603133,0.158933700750356,0.140103057369926,0.136895603039373
"ZNF260",6,0.0573233988860304,-1.21087842299087,-0.794752064383941,0.995441725295648,0.952865363193134,FALSE,0.160535442520065,0.118110217502416,0.142257356725251,0.154428415837804,0.152566460382837,0.116767421417399,0.160535442520065,0.155334685614229
"CSRP2",4,0.402354461125123,0.282884451261961,1.31798853383367,-1.08685866103583,-0.916368785184927,FALSE,0.163768483492196,0.146023109462889,0.13061651506839,0.149315423408245,0.163768483492196,0.132860803870852,0.154919627886441,0.122496036810988
"TAX1BP3",7,-0.0107721877628013,1.49437224806539,0.284797265842575,-1.13119209415192,-0.637205231993242,FALSE,0.165934428964319,0.125404813113521,0.128295145556723,0.142471244441763,0.153199936051133,0.163800395235275,0.120894036637265,0.165934428964319
"DSE",6,0.40472075238836,0.506543780137854,1.17317094486518,-0.918022698919427,-1.16641277847197,FALSE,0.166809235638082,0.140783561106289,0.137534345703052,0.142883301715057,0.139994002208053,0.138418347185304,0.166809235638082,0.133577206444163
"DHRS7",6,0.316153368010679,0.8155741631973,0.961296858856716,-0.801136327565826,-1.29188806249887,FALSE,0.168221477193448,0.136457371365813,0.139184878974651,0.134929335483225,0.126518915102265,0.148263480926011,0.168221477193448,0.146424540954587
"PLEKHA4",4,0.118560563140619,-1.25960261639483,-0.754204382021839,0.816206197117718,1.07904023815833,FALSE,0.168379144128554,0.115475244226059,0.141352353147055,0.166518844712103,0.168379144128554,0.11158434172728,0.148374714007372,0.148315358051577
"FAM134A",6,0.351403204855325,0.00378127872811341,1.47920179062803,-0.862525730711745,-0.971860543499726,FALSE,0.17104591855959,0.15889792191698,0.125191600973483,0.137726182986506,0.158056912427569,0.133877842056488,0.17104591855959,0.115203621079383
"C9orf114",3,0.702145183354806,-0.346238208950724,1.36648600132268,-0.996304723968663,-0.726088251758096,FALSE,0.171182311889013,0.134001799885965,0.139881285779591,0.171182311889013,0.168494665295295,0.111447910195293,0.160558130021966,0.114433896932877
"HLA-DQB2",6,0.759874723654751,-0.210963542434668,1.29499285768234,-0.89863642032305,-0.945267618579376,FALSE,0.171899767543448,0.129003320871971,0.148960589904861,0.168779872008792,0.147925956702185,0.112174995091451,0.171899767543448,0.121255497877292
"SWAP70",7,-0.0510937499535185,1.58132167797913,-0.00996285317253588,-1.17311496569475,-0.347150109158328,FALSE,0.173670573192446,0.117549402934371,0.127464563266566,0.149083198539906,0.162124564871565,0.159655129549366,0.11045256764578,0.173670573192446
"TMEM260",3,0.737144162526503,0.402910927982246,1.00089775048707,-1.08844065094985,-1.05251219004598,FALSE,0.174239620624074,0.11813708652874,0.157290451135117,0.174239620624074,0.139398577931552,0.117312547428502,0.154940565052567,0.138681151299447
"SKIL",6,0.473512425438278,-0.30261101648872,1.50791609395781,-0.815041712197988,-0.86377579070938,FALSE,0.17469517085597,0.154241429005846,0.128318276289316,0.145270993682256,0.162304032164051,0.123704907851225,0.17469517085597,0.111465190151335
"SLC25A36",6,-0.53657618676794,-0.71865030451248,-0.856170817808265,1.39745878090328,0.713938528185404,FALSE,0.174760507640316,0.146655776702939,0.114006891528067,0.106331962781352,0.129532184528309,0.166940340892637,0.174760507640316,0.16177233592638
"PRDX1",6,-0.0377895530566093,-1.48100315839553,-0.322114723038424,0.979502885413885,0.86140454907668,FALSE,0.175675895585721,0.140767370948032,0.126419225670754,0.138816973898346,0.166904199580835,0.121512254601778,0.175675895585721,0.129904079714534
