"","Basal.Sample.1","Basal.Sample.15","Basal.Sample.16","Basal.Sample.17","Basal.Sample.18","Basal.Sample.3","Basal.Sample.4","Basal.Sample.5","Basal.Sample.7","HER2.Sample.19","HER2.Sample.20","HER2.Sample.21","HER2.Sample.28","HER2.Sample.29","HER2.Sample.30","HER2.Sample.37","HER2.Sample.38","HER2.Sample.39","LumA.Sample.10","LumA.Sample.11","LumA.Sample.12","LumA.Sample.13","LumA.Sample.14","LumA.Sample.2","LumA.Sample.6","LumA.Sample.8","LumA.Sample.9","LumB.Sample.22","LumB.Sample.23","LumB.Sample.24","LumB.Sample.31","LumB.Sample.32","LumB.Sample.33","LumB.Sample.40","LumB.Sample.41","LumB.Sample.42","Normal.Sample.25","Normal.Sample.26","Normal.Sample.27","Normal.Sample.34","Normal.Sample.35","Normal.Sample.36","Normal.Sample.43","Normal.Sample.44","Normal.Sample.45"
"P04217",-0.0661214506809526,0.203016379005446,-0.139478556903768,-0.457943082205913,-0.171990681329264,-0.193581529249159,-0.534232030892094,-0.727356156948143,0.646646154921818,-0.00643142862573597,-0.303351914487934,1.18104028931303,-0.129165596849675,0.215128956311565,-0.887403986936468,-0.591074990433559,-0.116552176207945,-0.0199517750999736,-0.188468727472015,-0.183509935091027,0.0354173760453781,0.116610633321634,-0.0199625230599909,0.568090577391477,-0.396698230873778,-0.124494721045432,-0.272683764081734,-0.440467307594489,0.0729295623812981,-0.203869039858513,-0.185559314698889,-0.621688068021613,-0.683919494692117,-0.302365580038317,0.0243276621218758,-0.623618636950158,0.547248114846604,0.304767409943669,0.538214807329598,0.201700312130999,0.160784926837256,0.262253097554634,0.0698613083085483,0.0232950599771208,0.742056500876768
"P01023",0.523646749130136,0.420830740207154,-0.18852036154596,0.0381701590128652,0.399439002679869,-0.497662941494964,-0.271368596288538,-0.945193040062037,0.370632106240218,-0.439883835360072,-0.43984637995104,1.46546810717267,-0.171177656957153,-0.277339271195264,-0.796188354503942,-0.752569222107026,0.312043884300495,-0.635159786017451,-0.373412480379015,-0.708102850420857,-0.354170285540049,0.0420133307113648,-0.558033093749613,0.705045884485509,-0.176569943382391,-0.435784755157863,-0.697265583934004,-0.351492875785659,0.309080687565908,-0.248176114102453,-0.723307090635034,-0.644781165592076,-1.107021273116,-0.501292773439379,0.48668854037077,-0.89844809891003,0.909884430710057,0.0481170868580021,0.60682677683001,0.743183427449479,0.122513849416047,0.466773569392835,0.388675483550771,-0.0186255651805087,1.51309280716655
"A8K2U0",1.13545695047088,-0.387178244404516,0.427010066477247,-2.85939117115021,-1.12480927189601,-1.11487096337972,-0.76722996498839,-0.523758729947296,2.1881342342463,-3.11396432692639,-3.46411014346664,-2.83609231226016,-3.51467840419145,-2.46906410350126,-3.77451506248006,-3.6219705063071,-3.85171704898947,-3.85699341378292,-3.58134061962411,-3.78326353142094,-3.56110522064857,-3.51389846675589,-2.9108227149095,-1.9047689346713,-1.8964072979231,-2.02967877554866,-1.19826447733116,-3.79263689071718,-3.60663256968869,-3.37725209597978,-3.75205197217967,-3.61398668244198,-3.92983122539031,-3.95057181582528,-3.99883204424621,-4.04345722774051,-3.01107720136123,-2.16630421280607,-2.85127931777574,-2.45152447061438,-2.24109636759744,-3.18107536757019,-3.54388187023643,-3.21462601106243,-3.62963084333011
"Q9NRG9",0.167344701237904,0.269066299885039,-0.0377347284182786,0.486893334439417,0.0734868899232025,0.0390875550819083,0.213297318096924,0.522401752209145,-0.190965477253405,-0.413738924075589,-0.321006211383577,-0.337291415258896,-0.145416462649967,-0.174165884089167,-0.0142480066068739,0.124173065714276,-0.0891284688560968,0.00631785974875245,-0.415660786045614,0.0758537250277052,-0.263916417746171,0.0862501109208132,0.100946559713112,-0.203925896351264,0.053383215833456,0.000737809149721765,0.166387566848805,-0.0401200043185713,-0.120765572482638,-0.0283012698758603,0.277620357672653,0.0712091318670013,-0.00960589949521132,-0.10790127817967,-0.119374093250416,-0.0890278806766138,-0.229641341031506,-0.310631107157767,-0.164919963118977,-0.219268160687029,-0.134922614165813,0.0142818404899941,-0.0703226140115176,-0.000803687935014602,-0.174281384668613
"Q86V21",0.493003652737823,0.589818543222923,-0.336183505025895,-0.00502693662269801,-0.690891346756664,0.35652860041844,-1.02282512518058,0.105687960590454,-0.474252579359548,-0.313569617781511,-0.62962368747425,0.160785148800111,0.0141421858832884,-0.399249418510165,0.689940418633851,-0.847791609293418,-0.273890851692946,-0.042417323383159,0.629199863952864,-0.698158986839709,0.26016273816869,0.195080335506262,-0.416938346701984,-0.629925408442748,-0.132327320783473,-0.288387189055852,-0.633980904134977,-0.038039668708419,0.335921329263104,-0.476793979891691,0.251260146750226,-0.601388207092439,-0.199822641735968,1.31792001723331,-0.439590865904508,0.0432848517626551,-0.042813942320934,0.758610846735379,1.34555586418125,-0.420289001131438,-0.209457467270795,0.536785778235507,0.176251381792765,0.173616028058444,-0.512444465575635
"Q6PD74",0.320230143832837,-0.400633398243971,0.0858517848650735,-0.907495468893919,-0.501439304031397,0.458427516034191,0.00247419579033897,0.520740603541122,-0.379880452571676,0.259588288958257,0.119417445759665,0.380813114806373,-0.126332332568235,0.29687069144559,0.890159414945144,0.573468090802372,0.0687521036709404,0.0621661502269141,0.0852499649362465,0.112433217459014,0.956952646313733,0.253303535136215,0.494791358523549,0.131579764231924,0.181015485125941,-0.146013233777887,0.74336532543929,0.466981032863448,0.331884474654702,-0.059267537315871,0.562248869947319,0.0600494199832859,0.523149998650955,0.652337663709506,0.0288844492432247,0.446514418339729,-0.0145319261507217,-0.165367089730373,-0.0133617719941566,-0.103377178124333,0.126378401454448,0.124412049555156,-0.489661689268806,0.171461269261675,0.0520224595827399
"Q2M2I8",-0.124491951998629,-0.0419282156438119,0.00326214633489861,-0.0284277157192716,0.0899339441101623,0.0454125964499499,0.516285663149672,0.0768478696658373,0.0192344296421712,0.297253009696547,0.242742354376955,0.0869778799771499,0.0919263748597615,-9.629549499467e-05,-0.0207679975473193,0.40380021077065,0.0358521173181192,0.197052952683162,-0.00188698131327926,0.0192647906550667,-0.000531239717033262,-0.216145968961585,0.0927877632074068,0.362195264132433,0.0849913005636881,-0.0209475285896896,-0.17074346576036,0.282220075452341,-0.275630725860323,0.139994406598468,-0.124295126185235,0.203004936622397,0.787482667195467,0.0270609226422747,-0.0778696958971551,0.154673014454999,-0.0318725410167659,0.0134713116227143,0.101414986656037,0.225791059042832,0.255761213732726,0.268145671355238,-0.059667388305795,0.00486644168999358,0.0764003908452484
"K4DI89",-0.665950263435758,-0.314264408595346,-0.802862375015236,-0.123227700551596,-0.389092804824145,-0.245664376358984,-1.02105127239273,-0.7091996128321,-0.457287661419822,-0.226972754221465,-0.146687548147344,-0.262848491234649,0.130646516392905,0.39897266714798,0.429148814440977,-0.384008937717807,0.0919923245146363,-0.106322603882753,0.815969230551924,-0.236337634805629,-0.187600843122943,0.184926901503854,0.143269866129129,-0.449381798127265,0.833841976351888,0.545393875609918,-0.342961593118284,-0.589746913740699,-0.682536838473938,-0.119682053064584,1.83741738082841,0.121903122527966,0.238080944178412,0.949716997705124,0.0832947920017429,0.0342541963124553,-0.568953621327791,0.279969140752607,-0.0677757914719195,-0.0265880603039509,-0.0578113252542749,-0.233690936381719,0.230875344034867,0.221617980560619,0.397192605011668
"A0A024R410",0.539923482653576,0.159139974979398,-0.105956158189407,-0.542347587487617,-0.194330892497195,0.103204888880628,-0.340183842582727,0.190153655095782,-0.244708186739602,0.805971935695419,0.138136343275708,0.112275476391352,-0.083911139618066,-0.0484720020161279,0.375604927348629,-0.0909558735779001,-0.0982785743750508,-0.0300054302985687,0.0568381218353556,-0.380909211853178,0.0907283829074397,0.0908532579622945,-0.188653031899015,0.0089816887107453,-0.065778515518579,0.0681138233838436,0.406468678762047,0.149013146295421,0.145909345766548,-0.0398939623315112,0.32383377308771,-0.0841852060106528,0.268042434628989,0.166835595356565,-0.0312077905038646,0.402673939057167,-0.0231076669655403,0.0715806576197893,0.0434767652463017,-0.116693417192961,-0.0756650075848816,-0.265332468968477,-0.256625196616755,0.382758971591375,-0.163512189791579
"Q9Y312",0.248929085518899,-0.124084523819534,0.0280846048065891,0.333991168185219,-0.255135782009742,-0.028431261938916,0.237583565050699,0.249333132523349,-0.10717310089972,0.24596631010911,0.134218930267906,-0.148008288307633,0.258962317601184,0.000457251757034704,0.373036294596761,0.503915089909251,0.0398579128969833,0.180701334176123,-0.196573412254149,-0.163317693787923,0.0240640795839238,-0.603916227097826,0.00888852927705249,-0.180307500536308,0.0509781126353537,0.115520471478152,0.438423925577231,0.111115655077354,0.200650723719269,0.099758148046698,0.193100516482813,0.0591152082795832,0.0855356275769719,0.58759286372014,0.0964374281463726,0.380842917214695,-0.0781315556014523,-0.115316308144809,-0.153621506811485,-0.176588781666248,-0.148884238556055,-0.101303390516909,-0.0442888906593852,0.0297727273874471,-0.100210402602698
